Company,Category,Queue Number,# Judges,# Matching,# Fill-In,Judge 1,Judge 2,Judge 3,Judge 4,Judge 5,Judge 6,Judge 7,Judge 8,Judge 9,Judge 10,Judge 11,Judge 12
Period.,B2C Digital/Apps,46,11,11,0,Scott Berg,Daniela Tomas,Mike Scrudato,Jane Hennessy,David Hemler,Rahul Miglani,Eric Kullberg,Philip McBride,Patrick Farran,Dominic Go,Francis Williams
Podstax,B2C Digital/Apps,50,11,11,0,German Estrada,Scott Voulgaris,Mike Scrudato,Gary Sobolewski,Syzmon Ryzner,Shelley Simon,Will Alverson,Mike Ferrigno,Gordon Geraci,Malaina Weldy,Francis Williams
ProfProven,B2C Digital/Apps,53,11,11,0,Johnny Whichard,Scott Voulgaris,Jay DeCoons,Tim Kish,Michael Seiler,Tony Nguyen,Nick Schappler,Alyssa Jank,Philip McBride,Adam Sellke,Francis Williams
QuoteNote,B2C Digital/Apps,58,11,11,0,Scott Berg,Johnny Whichard,Jane Hennessy,Kristin Marcuccilli,Kristopher Priemer,Rahul Miglani,Rita Zinn,Craig Chval,Evan Doney,Dominic Go,Scott Noble
Rydr,B2C Digital/Apps,61,11,11,0,Tom Keuten,Johnny Whichard,Eric Meyers,Kristin Marcuccilli,Kristopher Priemer,Rahul Miglani,Chris Orenchuk,Jim Hunt,Mike Ferrigno,Dominic Go,Scott Noble
Shortcastle,B2C Digital/Apps,65,11,11,0,Tom Keuten,Logan Herzog,Eric Meyers,Gary Sobolewski,Peter Flood,David Brenner,Rahul Miglani,Joshua Francis,Gordon Geraci,Dominic Go,Sean Murdock
Steed,B2C Digital/Apps,68,11,11,0,Daniela Tomas,Tom Keuten,Jay DeCoons,Jane Hennessy,Thomas Jensen,Kristopher Priemer,Michael Seiler,Patrick Farran,Jay Breeden,Ryan Mitchell,Sean Murdock
Stroll Care,B2C Digital/Apps,76,11,11,0,Logan Herzog,Tom Keuten,Ryan Kreager,Kristin Marcuccilli,Craig Anderson,Pat Sigmon,Will Alverson,Gordon Geraci,Alyssa Jank,Malaina Weldy,Soraya Hernandez
Study Abroad Go,B2C Digital/Apps,83,11,10,1,German Estrada,Johnny Whichard,Jane Hennessy,Kristin Marcuccilli,Pat Sigmon,Kristopher Priemer,Joe Shonkwiler,Joshua Francis,Alyssa Jank,Adam Sellke,Dom Gatto - Fill-in
TeacherTime Call Coverage,B2C Digital/Apps,86,11,10,1,Daniela Tomas,Logan Herzog,Tim Connors,Aaron Wallace,Eric Kullberg,Nitesh Gudapati,David Hemler,Philip McBride,Joshua Francis,Adam Sellke,Sarah Shoemaker - Fill-in
